Timestamp,How much have you currently spent?,How often do you play?,What are your spending habits?,When do you usually spend(orbs) on a banner? (just any given banner in general),How fast do you complete quests,How do you go about getting orb rewards,Have you let pity rates over 4.25 die?,"There's a new deal, you can buy a character you really want for a bulk sum of orbs, how many orbs are you willing to pay?"," Orb prices have decreased by 15% for a week, will you buy?","Your pity rate is 4.75 but this week orbs are 30% more expensive, will you buy?","Your pity rate is at 4.75 but the one time deals are 2 or 1, what do you choose"
2018/03/23 8:14:23 PM EST,1,2,1,1,0,1,1,300,0,0,0
2018/03/23 8:17:38 PM EST,1,2,1,1,0,1,2,45,1,0,0
2018/03/23 8:20:42 PM EST,1,2,1,2,0,0,2,100,1,0,2
2018/03/23 8:20:45 PM EST,1,2,2,3,0,0,3,10,1,0,1
2018/03/23 8:21:05 PM EST,0,2,0,2,1,0,0,100,0,0,0
2018/03/23 8:22:31 PM EST,0,2,0,2,0,1,0,20,0,0,0
2018/03/23 8:22:56 PM EST,0,2,0,1,1,0,0,30,0,0,0
2018/03/23 8:23:28 PM EST,1,2,1,4,1,1,1,0,1,0,2
2018/03/23 8:23:49 PM EST,0,2,0,0,0,1,0,35,0,0,0
2018/03/23 8:24:41 PM EST,0,1,0,0,0,1,1,55,1,0,2
2018/03/23 8:29:47 PM EST,1,2,1,2,1,1,0,50,0,0,0
2018/03/23 8:30:34 PM EST,0,2,0,2,1,0,1,0,0,0,0
2018/03/23 8:36:08 PM EST,1,2,1,2,0,0,0,100,0,0,2
2018/03/23 8:36:11 PM EST,0,2,0,1,0,0,0,250,0,0,0
2018/03/23 8:41:15 PM EST,1,2,1,0,1,0,1,30,1,0,0
2018/03/23 8:43:03 PM EST,1,2,1,2,0,0,0,40,1,0,0
2018/03/23 8:44:49 PM EST,0,2,0,2,1,0,0,20,0,0,1
2018/03/23 8:45:58 PM EST,0,2,0,2,0,0,1,75,1,0,2
2018/03/23 8:46:27 PM EST,1,2,0,2,0,0,0,50,0,0,0
2018/03/23 8:47:29 PM EST,1,2,1,1,0,0,1,100,1,0,1
2018/03/23 8:49:23 PM EST,1,2,0,4,1,0,0,20,0,0,0
2018/03/23 8:49:38 PM EST,0,2,0,1,1,0,0,100,0,0,0
2018/03/23 8:49:49 PM EST,0,2,0,0,0,1,0,50,0,0,0
2018/03/23 8:50:18 PM EST,1,2,2,0,0,1,1,70,1,0,1
2018/03/23 8:52:35 PM EST,0,2,0,0,0,0,1,50,0,0,0
2018/03/23 8:53:27 PM EST,0,2,0,0,0,1,1,100,0,0,0
2018/03/23 8:55:19 PM EST,0,2,0,1,0,0,0,40,1,0,0
2018/03/23 8:55:21 PM EST,1,2,1,1,0,0,2,2,1,1,1
2018/03/23 8:56:40 PM EST,1,2,1,1,2,1,1,100,1,0,1
2018/03/23 8:57:26 PM EST,1,2,1,2,1,0,0,60,0,0,0
2018/03/23 8:58:34 PM EST,0,2,0,0,2,1,1,0,0,0,0
2018/03/23 9:00:19 PM EST,1,2,2,0,0,0,2,0,1,1,2
2018/03/23 9:01:21 PM EST,1,2,1,2,0,0,2,60,1,0,1
2018/03/23 9:05:48 PM EST,1,2,1,2,0,0,0,75,1,0,2
2018/03/23 9:05:53 PM EST,1,2,1,2,0,0,0,75,1,0,2
2018/03/23 9:06:04 PM EST,1,2,1,2,0,0,0,75,1,0,2
2018/03/23 9:06:07 PM EST,1,2,1,2,0,0,0,75,1,0,2
2018/03/23 9:11:34 PM EST,1,2,1,2,1,0,0,100,1,0,0
2018/03/23 9:11:52 PM EST,1,2,1,1,0,0,0,40,1,0,1
2018/03/23 9:17:04 PM EST,1,2,1,4,1,0,2,35,1,0,1
2018/03/23 9:17:47 PM EST,0,2,0,0,0,1,0,0,0,0,0
2018/03/23 9:17:53 PM EST,1,2,1,3,1,0,0,50,0,0,2
2018/03/23 9:18:00 PM EST,1,2,1,1,0,1,2,300,1,0,2
2018/03/23 9:19:53 PM EST,0,2,0,2,1,0,0,0,0,0,0
2018/03/23 9:19:56 PM EST,1,2,1,2,0,0,0,100,1,0,0
2018/03/23 9:20:03 PM EST,1,2,1,2,1,0,0,25,1,0,1
2018/03/23 9:20:50 PM EST,0,2,0,2,1,0,0,50,0,0,0
2018/03/23 9:23:00 PM EST,0,2,0,1,1,0,1,0,0,0,0
2018/03/23 9:23:37 PM EST,1,2,1,2,0,1,0,50,1,0,1
2018/03/23 9:24:36 PM EST,1,2,1,1,2,0,1,50,0,0,2
2018/03/23 9:25:36 PM EST,1,2,1,1,0,1,0,20,1,0,1
2018/03/23 9:26:19 PM EST,1,2,1,0,1,0,0,200,1,0,2
2018/03/23 9:37:51 PM EST,0,2,1,2,1,0,0,60,0,0,0
2018/03/23 9:37:58 PM EST,1,2,1,1,1,0,2,150,1,0,2
2018/03/23 9:44:10 PM EST,1,2,1,2,1,0,0,70,0,0,0
